feature,theta,kernel,kernel_label,param,param_value,n_params,weights,acc,acc_std,mae_ord,mae_ord_std,acc1,acc1_std,rmse,r2
eig,0.5,K3_eesm,EESM指数核,beta_EESM,630.957344480193,1,off,0.4063534650700321,0.007655845976289897,0.7889918655619866,0.013682693038549876,0.8279743358233592,0.005582792429706703,55.18819836394655,0.6838399813370837
eig,0.5,K3_eesm,EESM指数核,beta_EESM,1258.9254117941662,1,off,0.4063534650700321,0.007655845976289897,0.7889918655619866,0.013682693038549876,0.8279743358233592,0.005582792429706703,55.18819836394655,0.6838399813370837
eig,0.5,K3_eesm,EESM指数核,beta_EESM,2511.886431509577,1,off,0.4063534650700321,0.007655845976289897,0.7889918655619866,0.013682693038549876,0.8279743358233592,0.005582792429706703,55.18819836394655,0.6838399813370837
eig,0.5,K3_eesm,EESM指数核,beta_EESM,5011.872336272725,1,off,0.4063534650700321,0.007655845976289897,0.7889918655619866,0.013682693038549876,0.8279743358233592,0.005582792429706703,55.18819836394655,0.6838399813370837
eig,0.5,K3_eesm,EESM指数核,beta_EESM,10000.0,1,off,0.4063534650700321,0.007655845976289897,0.7889918655619866,0.013682693038549876,0.8279743358233592,0.005582792429706703,55.18819836394655,0.6838399813370837
eig,0.5,K4_pow,幂函数核,q,-2.0,1,off,0.40164047131504443,0.008504890923452966,0.7947851441193313,0.01260018912695161,0.8262067657976345,0.004642078707811447,55.42539332993613,0.6811335020132698
eig,0.5,K4_pow,幂函数核,q,-1.0,1,off,0.40242592808876687,0.008342439985861354,0.7930177910473091,0.012483701821693961,0.8267467876689784,0.004554571883738376,55.34869085957748,0.682012369528787
eig,0.5,K4_pow,幂函数核,q,-0.5,1,off,0.4032114812863571,0.00917963076058449,0.7912992766643031,0.014269776716389826,0.8278270363123849,0.0055032492624382135,55.22993444854293,0.6833601928603088
eig,0.5,K4_pow,幂函数核,q,1.0,1,off,0.4063534650700321,0.007655845976289897,0.7889918655619866,0.013682693038549876,0.8279743358233592,0.005582792429706703,55.18819836394655,0.6838399813370837
eig,0.5,K4_pow,幂函数核,q,2.0,1,off,0.40738442906403405,0.007826353294679888,0.7878627300176299,0.013811751042843365,0.8283179663820596,0.005472887287257024,55.165379691918226,0.6841012498919253
eig,0.5,K5_plus,正指数核,beta_plus,0.01,1,off,0.4063534650700321,0.007696660243921753,0.7890409573636556,0.01372757543784722,0.8279252440216901,0.005586174611959664,55.19234838828523,0.6837920857445111
eig,0.5,K5_plus,正指数核,beta_plus,0.0199526231496888,1,off,0.4062552814666939,0.007749036726619674,0.7890900491653249,0.013755502355715583,0.8279743358233592,0.005582792429706703,55.190043860326156,0.6838184961359838
eig,0.5,K5_plus,正指数核,beta_plus,0.039810717055349734,1,off,0.40620618966502475,0.007734224881518727,0.789139140966994,0.013751688656584023,0.8279743358233592,0.005582792429706703,55.1921429623873,0.6837943908019396
eig,0.5,K5_plus,正指数核,beta_plus,0.07943282347242814,1,off,0.4063534650700321,0.007655845976289897,0.7889918655619866,0.013682693038549876,0.8279743358233592,0.005582792429706703,55.18819836394655,0.6838399813370837
eig,0.5,K5_plus,正指数核,beta_plus,0.15848931924611134,1,off,0.4063534650700321,0.007655845976289897,0.7889918655619866,0.013682693038549876,0.8279743358233592,0.005582792429706703,55.18819836394655,0.6838399813370837
eig,0.5,K5_plus,正指数核,beta_plus,0.31622776601683794,1,off,0.4063534650700321,0.007655845976289897,0.7889918655619866,0.013682693038549876,0.8279743358233592,0.005582792429706703,55.18819836394655,0.6838399813370837
eig,0.5,K5_plus,正指数核,beta_plus,0.630957344480193,1,off,0.4063534650700321,0.007655845976289897,0.7889918655619866,0.013682693038549876,0.8279743358233592,0.005582792429706703,55.18819836394655,0.6838399813370837
eig,0.5,K5_plus,正指数核,beta_plus,1.2589254117941675,1,off,0.4063534650700321,0.007655845976289897,0.7889918655619866,0.013682693038549876,0.8279743358233592,0.005582792429706703,55.18819836394655,0.6838399813370837
eig,0.5,K5_plus,正指数核,beta_plus,2.5118864315095797,1,off,0.4063534650700321,0.007655845976289897,0.7889918655619866,0.013682693038549876,0.8279743358233592,0.005582792429706703,55.18819836394655,0.6838399813370837
eig,0.5,K5_plus,正指数核,beta_plus,5.01187233627272,1,off,0.4063534650700321,0.007655845976289897,0.7889918655619866,0.013682693038549876,0.8279743358233592,0.005582792429706703,55.18819836394655,0.6838399813370837
eig,0.5,K5_plus,正指数核,beta_plus,10.0,1,off,0.4063534650700321,0.007655845976289897,0.7889918655619866,0.013682693038549876,0.8279743358233592,0.005582792429706703,55.18819836394655,0.6838399813370837
eig,0.5,K5_plus,正指数核,beta_plus,19.952623149688787,1,off,0.4063534650700321,0.007655845976289897,0.7889918655619866,0.013682693038549876,0.8279743358233592,0.005582792429706703,55.18819836394655,0.6838399813370837
eig,0.5,K5_plus,正指数核,beta_plus,39.81071705534969,1,off,0.4063534650700321,0.007655845976289897,0.7889918655619866,0.013682693038549876,0.8279743358233592,0.005582792429706703,55.18819836394655,0.6838399813370837
eig,0.5,K5_plus,正指数核,beta_plus,79.43282347242814,1,off,0.4063534650700321,0.007655845976289897,0.7889918655619866,0.013682693038549876,0.8279743358233592,0.005582792429706703,55.18819836394655,0.6838399813370837
eig,0.5,K5_plus,正指数核,beta_plus,158.48931924611142,1,off,0.4063534650700321,0.007655845976289897,0.7889918655619866,0.013682693038549876,0.8279743358233592,0.005582792429706703,55.18819836394655,0.6838399813370837
eig,0.5,K5_plus,正指数核,beta_plus,316.22776601683796,1,off,0.4063534650700321,0.007655845976289897,0.7889918655619866,0.013682693038549876,0.8279743358233592,0.005582792429706703,55.18819836394655,0.6838399813370837
eig,0.5,K5_plus,正指数核,beta_plus,630.957344480193,1,off,0.4063534650700321,0.007655845976289897,0.7889918655619866,0.013682693038549876,0.8279743358233592,0.005582792429706703,55.18819836394655,0.6838399813370837
eig,0.5,K5_plus,正指数核,beta_plus,1258.9254117941662,1,off,0.4063534650700321,0.007655845976289897,0.7889918655619866,0.013682693038549876,0.8279743358233592,0.005582792429706703,55.18819836394655,0.6838399813370837
eig,0.5,K5_plus,正指数核,beta_plus,2511.886431509577,1,off,0.4063534650700321,0.007655845976289897,0.7889918655619866,0.013682693038549876,0.8279743358233592,0.005582792429706703,55.18819836394655,0.6838399813370837
eig,0.5,K5_plus,正指数核,beta_plus,5011.872336272725,1,off,0.4063534650700321,0.007655845976289897,0.7889918655619866,0.013682693038549876,0.8279743358233592,0.005582792429706703,55.18819836394655,0.6838399813370837
eig,0.5,K5_plus,正指数核,beta_plus,10000.0,1,off,0.4063534650700321,0.007655845976289897,0.7889918655619866,0.013682693038549876,0.8279743358233592,0.005582792429706703,55.18819836394655,0.6838399813370837
